Symbol,Strategy,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Position_Size,Return_%,PnL,Side,Duration_Hours
SPY,Momentum Scalping,2025-06-13 13:15:00-04:00,2025-06-13 13:20:00-04:00,599.68,600.13,1,-0.07504002134472998,-3.078079915510898,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-13 14:15:00-04:00,2025-06-13 14:20:00-04:00,598.56,598.11,1,0.07518043303927913,-22.562993183784783,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-13 14:25:00-04:00,2025-06-13 14:40:00-04:00,597.11,596.18,1,0.15575019678116808,-28.829846569005895,long,0.25
SPY,Momentum Scalping,2025-06-16 09:30:00-04:00,2025-06-16 09:35:00-04:00,601.53,601.49,1,-0.006649709906403345,-4.373707348189782,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-16 13:55:00-04:00,2025-06-16 14:00:00-04:00,602.31,602.63,1,-0.05312878750145522,-7.501022382755764,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-17 09:30:00-04:00,2025-06-17 09:35:00-04:00,600.43,600.55,1,-0.01998567693153319,-6.984605455412748,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-17 12:55:00-04:00,2025-06-17 13:00:00-04:00,599.78,600.0,1,-0.03668011604256449,-9.050405727670295,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-17 13:45:00-04:00,2025-06-17 13:50:00-04:00,598.12,598.16,1,-0.006687621213119499,-12.509529777085845,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-18 13:30:00-04:00,2025-06-18 13:35:00-04:00,598.42,598.87,1,-0.07519802145650178,-3.9802219250032067,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-18 14:30:00-04:00,2025-06-18 14:35:00-04:00,600.1,599.71,1,-0.06498916847191838,-20.319820790849917,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-18 14:40:00-04:00,2025-06-18 14:45:00-04:00,600.38,599.51,1,-0.14490822479096277,-27.577053616276316,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-18 14:55:00-04:00,2025-06-18 15:00:00-04:00,597.27,598.04,1,-0.12891991896462063,2.349813332836675,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-20 13:25:00-04:00,2025-06-20 13:40:00-04:00,593.56,593.41,1,0.025271244693036987,-13.869892675154915,long,0.25
SPY,Momentum Scalping,2025-06-20 14:55:00-04:00,2025-06-20 15:00:00-04:00,593.6,593.67,1,-0.01179245283018382,-9.950519416544921,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-23 12:25:00-04:00,2025-06-23 12:35:00-04:00,594.31,593.3,1,0.16994497821002374,-36.16518048330545,long,0.16666666666666666
SPY,Momentum Scalping,2025-06-23 13:25:00-04:00,2025-06-23 13:30:00-04:00,597.71,598.27,1,0.09369092034596793,-0.4636167421231221,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-24 09:30:00-04:00,2025-06-24 09:35:00-04:00,604.39,604.93,1,0.08934628302916803,-0.5259086027081139,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-24 12:40:00-04:00,2025-06-24 12:45:00-04:00,607.13,606.78,1,-0.05764827961063368,-25.22300219866156,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-26 09:30:00-04:00,2025-06-26 09:35:00-04:00,609.21,609.11,1,-0.01641470100622877,-10.8378561455811,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-26 10:30:00-04:00,2025-06-26 10:35:00-04:00,610.39,610.25,1,-0.022936155572661487,-10.841078035784449,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-27 09:30:00-04:00,2025-06-27 09:35:00-04:00,613.08,613.6,1,0.08481764206955678,-2.294868298453366,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-27 13:45:00-04:00,2025-06-27 13:50:00-04:00,613.93,613.92,1,0.001628850194645981,-16.24985919717983,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-27 14:25:00-04:00,2025-06-27 14:30:00-04:00,612.33,612.48,1,-0.024496594973300034,-11.868097150985705,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-27 14:35:00-04:00,2025-06-27 14:40:00-04:00,611.59,611.74,1,-0.024526234895927423,-10.723427035791246,long,0.08333333333333333
SPY,Momentum Scalping,2025-06-27 15:50:00-04:00,2025-06-30 09:30:00-04:00,614.22,616.66,1,0.397251799029652,31.67665482987468,long,65.66666666666667
SPY,Momentum Scalping,2025-06-30 14:55:00-04:00,2025-06-30 15:05:00-04:00,616.93,617.18,1,0.040523236023526366,-9.526679561649871,long,0.16666666666666666
SPY,Momentum Scalping,2025-06-30 15:50:00-04:00,2025-06-30 15:55:00-04:00,619.05,617.84,1,-0.19546078668927214,-47.21153939838405,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-01 12:10:00-04:00,2025-07-01 12:15:00-04:00,617.98,617.69,1,-0.046927085018921844,-16.008535995164493,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-02 09:30:00-04:00,2025-07-02 09:35:00-04:00,616.73,617.25,1,-0.0843156648776544,-2.098609560238401,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-03 09:30:00-04:00,2025-07-03 09:35:00-04:00,623.34,623.44,1,0.016042609169963917,-6.270000650634756,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-07 09:30:00-04:00,2025-07-07 09:35:00-04:00,623.23,623.32,1,-0.014440896619238863,-8.528489979658843,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-07 12:20:00-04:00,2025-07-07 12:25:00-04:00,620.23,620.58,1,-0.05643067894167686,-6.545126106311727,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-07 14:15:00-04:00,2025-07-07 14:20:00-04:00,618.7,618.59,1,0.017779214481983274,-15.252666066569873,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-07 15:55:00-04:00,2025-07-08 09:30:00-04:00,620.77,620.61,1,-0.025774441419523786,-18.971461599634495,long,17.583333333333332
SPY,Momentum Scalping,2025-07-09 09:30:00-04:00,2025-07-09 09:35:00-04:00,623.52,623.83,1,0.04971773158841675,-3.2785401257206104,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-09 10:30:00-04:00,2025-07-09 10:35:00-04:00,622.56,622.57,1,-0.0016062708815489657,-6.120209301028808,long,0.08333333333333333
SPY,Momentum Scalping,2025-07-11 09:30:00-04:00,2025-07-11 09:35:00-04:00,622.63,622.27,1,0.05781925059826776,-10.737870960638247,long,0.08333333333333333
